14:05:51.444 -> 16.81 Requesting temperatures ... Done!
14:05:53.203 -> 16.88 Requesting temperatures ... Done!
14:05:54.962 -> 17.00 Requesting temperatures ... Done!
14:05:56.720 -> 17.13 Requesting temperatures ... Done!
14:05:58.446 -> 17.19 Requesting temperatures ... Done!
14:06:00.171 -> 17.31 Requesting temperatures ... Done!
14:06:01.896 -> 17.31 Requesting temperatures ... Done!
14:06:03.621 -> 17.31 Requesting temperatures ... Done!
14:06:05.347 -> 17.25 Requesting temperatures ... Done!
14:06:07.072 -> 17.19 Requesting temperatures ... Done!
14:06:08.797 -> 17.06 Requesting temperatures ... Done!
14:06:10.522 -> 17.00 Requesting temperatures ... Done!
14:06:12.281 -> 16.94 Requesting temperatures ... Done!
14:06:14.039 -> 16.81 Requesting temperatures ... Done!
14:06:15.798 -> 16.75 Requesting temperatures ... Done!
14:06:17.524 -> 16.63 Requesting temperatures ... Done!
14:06:19.282 -> 16.56 Requesting temperatures ... Done!
14:06:21.040 -> 16.50 Requesting temperatures ... Done!
14:06:22.799 -> 16.50 Requesting temperatures ... Done!
14:06:24.524 -> 16.44 Requesting temperatures ... Done!
14:06:26.282 -> 16.38 Requesting temperatures ... Done!
14:06:28.041 -> 16.38 Requesting temperatures ... Done!
14:06:29.800 -> 16.38 Requesting temperatures ... Done!
14:06:31.525 -> 16.38 Requesting temperatures ... Done!
14:06:33.284 -> 16.38 Requesting temperatures ... Done!
14:06:35.042 -> 16.38 Requesting temperatures ... Done!
14:06:36.801 -> 16.38 Requesting temperatures ... Done!
14:06:38.526 -> 16.44 Requesting temperatures ... Done!
14:06:40.285 -> 16.44 Requesting temperatures ... Done!
14:06:42.043 -> 16.50 Requesting temperatures ... Done!
14:06:43.802 -> 16.56 Requesting temperatures ... Done!
14:06:45.527 -> 16.63 Requesting temperatures ... Done!
14:06:47.286 -> 16.69 Requesting temperatures ... Done!
14:06:49.044 -> 16.75 Requesting temperatures ... Done!
14:06:50.803 -> 16.81 Requesting temperatures ... Done!
14:06:52.529 -> 16.94 Requesting temperatures ... Done!
14:06:54.287 -> 17.00 Requesting temperatures ... Done!
14:06:56.080 -> 17.13 Requesting temperatures ... Done!
14:06:57.815 -> 17.19 Requesting temperatures ... Done!
14:06:59.497 -> 17.25 Requesting temperatures ... Done!
14:07:01.223 -> 17.31 Requesting temperatures ... Done!
14:07:02.949 -> 17.25 Requesting temperatures ... Done!
14:07:04.671 -> 17.25 Requesting temperatures ... Done!
14:07:06.399 -> 17.19 Requesting temperatures ... Done!
14:07:08.124 -> 17.06 Requesting temperatures ... Done!
14:07:09.850 -> 17.00 Requesting temperatures ... Done!
14:07:11.642 -> 16.94 Requesting temperatures ... Done!
14:07:13.367 -> 16.81 Requesting temperatures ... Done!
14:07:15.127 -> 16.75 Requesting temperatures ... Done!
14:07:16.886 -> 16.63 Requesting temperatures ... Done!
14:07:18.612 -> 16.56 Requesting temperatures ... Done!
14:07:20.369 -> 16.50 Requesting temperatures ... Done!
14:07:22.129 -> 16.44 Requesting temperatures ... Done!
14:07:23.888 -> 16.44 Requesting temperatures ... Done!
14:07:25.614 -> 16.38 Requesting temperatures ... Done!
14:07:27.373 -> 16.38 Requesting temperatures ... Done!
14:07:29.131 -> 16.38 Requesting temperatures ... Done!
14:07:30.890 -> 16.38 Requesting temperatures ... Done!
14:07:32.616 -> 16.38 Requesting temperatures ... Done!
14:07:34.374 -> 16.38 Requesting temperatures ... Done!
14:07:36.133 -> 16.44 Requesting temperatures ... Done!
14:07:37.892 -> 16.44 Requesting temperatures ... Done!
14:07:39.618 -> 16.44 Requesting temperatures ... Done!
14:07:41.377 -> 16.50 Requesting temperatures ... Done!
14:07:43.136 -> 16.56 Requesting temperatures ... Done!
14:07:44.862 -> 16.56 Requesting temperatures ... Done!
14:07:46.621 -> 16.69 Requesting temperatures ... Done!
14:07:48.380 -> 16.75 Requesting temperatures ... Done!
14:07:50.138 -> 16.81 Requesting temperatures ... Done!
14:07:51.864 -> 16.88 Requesting temperatures ... Done!
14:07:53.624 -> 17.00 Requesting temperatures ... Done!
14:07:55.415 -> 17.13 Requesting temperatures ... Done!
14:07:57.141 -> 17.19 Requesting temperatures ... Done!
14:07:58.834 -> 17.25 Requesting temperatures ... Done!
14:08:00.559 -> 17.25 Requesting temperatures ... Done!
14:08:02.284 -> 17.25 Requesting temperatures ... Done!
14:08:04.010 -> 17.25 Requesting temperatures ... Done!
14:08:05.736 -> 17.13 Requesting temperatures ... Done!
14:08:07.462 -> 17.06 Requesting temperatures ... Done!
14:08:09.188 -> 17.00 Requesting temperatures ... Done!
14:08:10.980 -> 16.94 Requesting temperatures ... Done!
14:08:12.724 -> 16.88 Requesting temperatures ... Done!
14:08:14.482 -> 16.75 Requesting temperatures ... Done!
14:08:16.208 -> 16.69 Requesting temperatures ... Done!
14:08:17.966 -> 16.56 Requesting temperatures ... Done!
14:08:19.725 -> 16.50 Requesting temperatures ... Done!
14:08:21.484 -> 16.44 Requesting temperatures ... Done!
14:08:23.210 -> 16.38 Requesting temperatures ... Done!
14:08:24.969 -> 16.38 Requesting temperatures ... Done!
14:08:26.728 -> 16.38 Requesting temperatures ... Done!
14:08:28.455 -> 16.31 Requesting temperatures ... Done!
14:08:30.214 -> 16.31 Requesting temperatures ... Done!
14:08:31.973 -> 16.31 Requesting temperatures ... Done!
14:08:33.731 -> 16.38 Requesting temperatures ... Done!
14:08:35.457 -> 16.38 Requesting temperatures ... Done!
14:08:37.216 -> 16.38 Requesting temperatures ... Done!
14:08:38.975 -> 16.44 Requesting temperatures ... Done!
14:08:40.734 -> 16.44 Requesting temperatures ... Done!
14:08:42.460 -> 16.50 Requesting temperatures ... Done!
14:08:44.220 -> 16.56 Requesting temperatures ... Done!
14:08:45.978 -> 16.63 Requesting temperatures ... Done!
14:08:47.704 -> 16.69 Requesting temperatures ... Done!
14:08:49.463 -> 16.75 Requesting temperatures ... Done!
14:08:51.222 -> 16.81 Requesting temperatures ... Done!
14:08:52.982 -> 16.94 Requesting temperatures ... Done!
14:08:54.707 -> 17.00 Requesting temperatures ... Done!
14:08:56.499 -> 17.13 Requesting temperatures ... Done!
14:08:58.225 -> 17.25 Requesting temperatures ... Done!
14:08:59.951 -> 17.31 Requesting temperatures ... Done!
14:09:01.677 -> 17.31 Requesting temperatures ... Done!
14:09:03.403 -> 17.31 Requesting temperatures ... Done!
14:09:05.129 -> 17.25 Requesting temperatures ... Done!
14:09:06.855 -> 17.19 Requesting temperatures ... Done!
14:09:08.548 -> 17.13 Requesting temperatures ... Done!
14:09:10.274 -> 17.00 Requesting temperatures ... Done!
14:09:12.066 -> 16.94 Requesting temperatures ... Done!
14:09:13.825 -> 16.88 Requesting temperatures ... Done!
14:09:15.551 -> 16.75 Requesting temperatures ... Done!
14:09:17.310 -> 16.69 Requesting temperatures ... Done!
14:09:19.069 -> 16.56 Requesting temperatures ... Done!
14:09:20.828 -> 16.50 Requesting temperatures ... Done!
14:09:22.554 -> 16.50 Requesting temperatures ... Done!
